,file,files_cc
0,CONTRIBUTORS,0
1,LICENSE,0
2,NOTICE,0
3,README.md,0
4,kafka-console-consumer-log4j.properties,0
5,kafka-console-consumer.sh,0
6,kafka-consumer-perf-test.sh,0
7,kafka-consumer-shell.sh,0
8,kafka-producer-perf-test.sh,0
9,kafka-producer-shell.sh,0
10,kafka-replay-log-producer.sh,0
11,kafka-run-class.sh,0
12,kafka-server-start.sh,0
13,kafka-server-stop.sh,0
14,kafka-simple-consumer-perf-test.sh,0
15,kafka-simple-consumer-shell.sh,0
16,zookeeper-server-start.sh,0
17,zookeeper-server-stop.sh,0
18,.gitignore,0
19,run_example.clj,0
20,project.clj,0
21,log4j.properties,0
22,buffer.clj,0
23,example.clj,0
24,kafka.clj,0
25,print.clj,0
26,serializable.clj,0
27,types.clj,0
28,buffer_test.clj,0
29,print_test.clj,0
30,serializable_test.clj,0
31,Makefile.am,0
32,Makefile.in,0
33,aclocal.m4,0
34,config.guess,0
35,config.sub,0
36,depcomp,0
37,install-sh,0
38,ltmain.sh,0
39,libtool.m4,0
40,ltoptions.m4,0
41,ltsugar.m4,0
42,ltversion.m4,0
43,lt~obsolete.m4,0
44,missing,0
45,configure,0
46,configure.ac,0
47,encoder.hpp,0
48,encoder_helper.hpp,0
49,example.cpp,0
50,producer.cpp,0
51,producer.hpp,0
52,encoder_helper_tests.cpp,0
53,encoder_tests.cpp,0
54,producer_tests.cpp,0
55,Settings.StyleCop,0
56,nunit.framework.dll,0
57,AbstractRequest.cs,0
58,Consumer.cs,0
59,Kafka.Client.csproj,0
60,KafkaConnection.cs,0
61,KafkaException.cs,0
62,Message.cs,0
63,Producer.cs,0
64,AssemblyInfo.cs,0
65,FetchRequest.cs,0
66,MultiFetchRequest.cs,0
67,MultiProducerRequest.cs,0
68,OffsetRequest.cs,0
69,ProducerRequest.cs,0
70,RequestContext.cs,0
71,RequestType.cs,0
72,BitWorks.cs,0
73,Crc32.cs,0
74,Kafka.sln,0
75,Kafka.Client.IntegrationTests.csproj,0
76,KafkaIntegrationTest.cs,0
77,Kafka.Client.Tests.csproj,0
78,MessageTests.cs,0
79,FetchRequestTests.cs,0
80,MultiFetchRequestTests.cs,0
81,MultiProducerRequestTests.cs,0
82,OffsetRequestTests.cs,0
83,ProducerRequestTests.cs,0
84,BitWorksTests.cs,0
85,Makefile,0
86,kafka_test.go,0
87,consumer.go,0
88,converts.go,0
89,kafka.go,0
90,message.go,0
91,publisher.go,0
92,request.go,0
93,timing.go,0
94,offsets.go,0
95,autoloader.php,0
96,consume.php,0
97,produce.php,0
98,Receive.php,0
99,Send.php,0
100,Encoder.php,0
101,FetchRequest.php,0
102,Message.php,0
103,MessageSet.php,0
104,Producer.php,0
105,Request.php,0
106,RequestKeys.php,0
107,SimpleConsumer.php,0
108,ReceiveTest.php,0
109,SendTest.php,0
110,EncoderTest.php,0
111,FetchRequestTest.php,0
112,MessageTest.php,0
113,ProducerTest.php,0
114,bootstrap.php,0
115,phpunit.xml,0
116,kafka.py,340
117,setup.py,3
118,Rakefile,0
119,TODO,0
120,kafka-rb.gemspec,0
121,kafka.rb,0
122,batch.rb,0
123,consumer.rb,0
124,error_codes.rb,0
125,io.rb,0
126,message.rb,0
127,producer.rb,0
128,request_type.rb,0
129,batch_spec.rb,0
130,consumer_spec.rb,0
131,io_spec.rb,0
132,kafka_spec.rb,0
133,message_spec.rb,0
134,producer_spec.rb,0
135,spec_helper.rb,0
136,consumer.properties,0
137,server.properties,0
138,zookeeper.properties,0
139,README,0
140,copy-jars.sh,0
141,hadoop-setup.sh,0
142,avro-1.4.0.jar,0
143,commons-logging-1.0.4.jar,0
144,hadoop-0.20.2-core.jar,0
145,jackson-core-asl-1.5.5.jar,0
146,jackson-mapper-asl-1.5.5.jar,0
147,pig-0.8.0-core.jar,0
148,piggybank.jar,0
149,run-class.sh,0
150,KafkaETLContext.java,0
151,KafkaETLInputFormat.java,0
152,KafkaETLJob.java,0
153,KafkaETLKey.java,0
154,KafkaETLRecordReader.java,0
155,KafkaETLRequest.java,0
156,KafkaETLUtils.java,0
157,Props.java,0
158,UndefinedPropertyException.java,0
159,DataGenerator.java,0
160,SimpleKafkaETLJob.java,0
161,SimpleKafkaETLMapper.java,0
162,test.properties,0
163,TextPublisher.java,0
164,KafkaOutputFormat.java,0
165,KafkaRecordWriter.java,0
166,AvroKafkaStorage.java,0
167,zkclient-0.1.0.jar,0
168,zookeeper-3.3.3.jar,0
169,Kafka.scala,20
170,FetchRequest.scala,0
171,MultiFetchRequest.scala,0
172,MultiFetchResponse.scala,0
173,MultiProducerRequest.scala,0
174,OffsetRequest.scala,0
175,ProducerRequest.scala,0
176,RequestKeys.scala,0
177,Broker.scala,7
178,Cluster.scala,0
179,Partition.scala,242
180,ErrorMapping.scala,0
181,InvalidConfigException.scala,0
182,InvalidMessageSizeException.scala,0
183,InvalidPartitionException.scala,0
184,NoBrokersForPartitionException.scala,0
185,OffsetOutOfRangeException.scala,0
186,UnavailableProducerException.scala,0
187,UnknownCodecException.scala,0
188,UnknownException.scala,0
189,UnknownMagicByteException.scala,0
190,ConsoleConsumer.scala,102
191,ConsumerConfig.scala,0
192,ConsumerConnector.scala,0
193,ConsumerIterator.scala,0
194,FetchedDataChunk.scala,0
195,Fetcher.scala,0
196,FetcherRunnable.scala,0
197,KafkaMessageStream.scala,1
198,PartitionTopicInfo.scala,0
199,SimpleConsumer.scala,0
200,TopicCount.scala,0
201,ZookeeperConsumerConnector.scala,0
202,package.html,0
203,MemoryOffsetStorage.scala,3
204,OffsetStorage.scala,0
205,OracleOffsetStorage.scala,0
206,Implicits.scala,1
207,ConsumerConnector.java,0
208,ByteBufferMessageSet.scala,0
209,MessageSet.scala,0
210,Producer.scala,0
211,ProducerData.scala,0
212,SyncProducer.scala,0
213,CallbackHandler.java,0
214,EventHandler.java,0
215,Log.scala,203
216,LogManager.scala,213
217,LogStats.scala,0
218,SegmentList.scala,0
219,ByteBufferBackedInputStream.scala,0
220,CompressionCodec.scala,20
221,CompressionUtils.scala,0
222,FileMessageSet.scala,0
223,InvalidMessageException.scala,0
224,Message.scala,0
225,MessageAndOffset.scala,0
226,MessageLengthException.scala,0
227,BoundedByteBufferReceive.scala,0
228,BoundedByteBufferSend.scala,0
229,ByteBufferSend.scala,2
230,ConnectionConfig.scala,0
231,Handler.scala,0
