,file,frequency_in_commits
0,CONTRIBUTORS,2
1,LICENSE,46
2,NOTICE,24
3,README.md,198
4,kafka-console-consumer-log4j.properties,5
5,kafka-console-consumer.sh,9
6,kafka-consumer-perf-test.sh,10
7,kafka-consumer-shell.sh,6
8,kafka-producer-perf-test.sh,12
9,kafka-producer-shell.sh,5
10,kafka-replay-log-producer.sh,8
11,kafka-run-class.sh,98
12,kafka-server-start.sh,14
13,kafka-server-stop.sh,15
14,kafka-simple-consumer-perf-test.sh,9
15,kafka-simple-consumer-shell.sh,7
16,zookeeper-server-start.sh,13
17,zookeeper-server-stop.sh,12
18,.gitignore,61
19,run_example.clj,6
20,project.clj,6
21,log4j.properties,106
22,buffer.clj,6
23,example.clj,6
24,kafka.clj,6
25,print.clj,6
26,serializable.clj,6
27,types.clj,6
28,buffer_test.clj,6
29,print_test.clj,6
30,serializable_test.clj,6
31,Makefile.am,3
32,Makefile.in,2
33,aclocal.m4,2
34,config.guess,2
35,config.sub,2
36,depcomp,2
37,install-sh,5
38,ltmain.sh,5
39,libtool.m4,2
40,ltoptions.m4,2
41,ltsugar.m4,2
42,ltversion.m4,2
43,lt~obsolete.m4,2
44,missing,2
45,configure,2
46,configure.ac,4
47,encoder.hpp,6
48,encoder_helper.hpp,4
49,example.cpp,4
50,producer.cpp,4
51,producer.hpp,4
52,encoder_helper_tests.cpp,4
53,encoder_tests.cpp,4
54,producer_tests.cpp,4
55,Settings.StyleCop,8
56,nunit.framework.dll,3
57,AbstractRequest.cs,8
58,Consumer.cs,13
59,Kafka.Client.csproj,5
60,KafkaConnection.cs,6
61,KafkaException.cs,8
62,Message.cs,9
63,Producer.cs,9
64,AssemblyInfo.cs,15
65,FetchRequest.cs,9
66,MultiFetchRequest.cs,9
67,MultiProducerRequest.cs,9
68,OffsetRequest.cs,9
69,ProducerRequest.cs,9
70,RequestContext.cs,5
71,RequestType.cs,4
72,BitWorks.cs,8
73,Crc32.cs,4
74,Kafka.sln,5
75,Kafka.Client.IntegrationTests.csproj,5
76,KafkaIntegrationTest.cs,6
77,Kafka.Client.Tests.csproj,5
78,MessageTests.cs,6
79,FetchRequestTests.cs,5
80,MultiFetchRequestTests.cs,5
81,MultiProducerRequestTests.cs,6
82,OffsetRequestTests.cs,5
83,ProducerRequestTests.cs,6
84,BitWorksTests.cs,5
85,Makefile,13
86,kafka_test.go,4
87,consumer.go,12
88,converts.go,4
89,kafka.go,6
90,message.go,6
91,publisher.go,12
92,request.go,6
93,timing.go,6
94,offsets.go,5
95,autoloader.php,6
96,consume.php,6
97,produce.php,6
98,Receive.php,3
99,Send.php,3
100,Encoder.php,4
101,FetchRequest.php,3
102,Message.php,4
103,MessageSet.php,3
104,Producer.php,4
105,Request.php,3
106,RequestKeys.php,3
107,SimpleConsumer.php,3
108,ReceiveTest.php,6
109,SendTest.php,6
110,EncoderTest.php,6
111,FetchRequestTest.php,6
112,MessageTest.php,6
113,ProducerTest.php,6
114,bootstrap.php,6
115,phpunit.xml,3
116,kafka.py,110
117,setup.py,32
118,Rakefile,4
119,TODO,3
120,kafka-rb.gemspec,5
121,kafka.rb,6
122,batch.rb,6
123,consumer.rb,6
124,error_codes.rb,6
125,io.rb,6
126,message.rb,6
127,producer.rb,6
128,request_type.rb,6
129,batch_spec.rb,6
130,consumer_spec.rb,6
131,io_spec.rb,6
132,kafka_spec.rb,6
133,message_spec.rb,6
