,File,Frequency,lines_modified,fcxflc
1551,StreamThread.java,323,14137,4566251
1057,KafkaConsumer.java,287,10142,2910754
1502,KStream.java,121,18622,2253262
2799,KafkaAdminClient.java,191,10647,2033577
1550,StreamTask.java,212,7250,1537000
1219,Fetcher.java,195,7834,1527630
1977,KafkaStreams.java,201,7232,1453632
3044,TaskManager.java,158,7917,1250886
1518,KStreamImpl.java,134,8558,1146772
883,KafkaProducer.java,218,4765,1038770
1978,StreamsConfig.java,177,4618,817386
1704,ConsumerCoordinator.java,160,4836,773760
894,Sender.java,144,5341,769104
1702,AbstractCoordinator.java,148,4792,709216
1880,KTableImpl.java,118,5563,656434
1877,KTable.java,69,8083,557727
3508,StreamsPartitionAssignor.java,96,5668,544128
1070,NetworkClient.java,131,3869,506839
3007,InternalTopologyBuilder.java,93,5109,475137
955,Protocol.java,75,5770,432750
